inference_mode,formulation,reading_index,start_reading,end_reading,t,k,y,outlier_flag,outlier_adjustment_w,cleaned_y
robust,opt,52,51,51,6,2,3.9,0,0.0,3.9
robust,opt,53,52,52,6,3,2.1,0,0.0,2.1
robust,opt,54,53,53,6,4,2.7,0,0.0,2.7
robust,opt,55,54,54,6,5,2.4,0,0.0,2.4
robust,opt,56,55,55,6,6,4.0,0,0.0,4.0
robust,opt,57,56,56,6,7,3.2,0,0.0,3.2
robust,opt,58,57,57,6,8,3.6,0,0.0,3.6
robust,opt,59,58,58,6,9,2.9,0,0.0,2.9
robust,opt,60,59,59,6,10,2.0,0,0.0,2.0
robust,opt,61,60,60,7,1,1.9,0,0.0,1.9
robust,opt,62,61,61,7,2,2.4,0,0.0,2.4
robust,opt,63,62,62,7,3,3.9,0,0.0,3.9
robust,opt,64,63,63,7,4,3.4,0,0.0,3.4
robust,opt,65,64,64,7,5,3.2,0,0.0,3.2
robust,opt,66,65,65,7,6,4.6,0,0.0,4.6
robust,opt,67,66,66,7,7,2.1,0,0.0,2.1
robust,opt,68,67,67,7,8,5.3,0,0.0,5.3
robust,opt,69,68,68,7,9,2.3,0,0.0,2.3
robust,opt,70,69,69,7,10,3.3,0,0.0,3.3
robust,opt,71,70,70,8,1,3.6,0,0.0,3.6
robust,opt,72,71,71,8,2,1.5,0,0.0,1.5
robust,opt,73,72,72,8,3,3.4,0,0.0,3.4
robust,opt,74,73,73,8,4,2.1,0,0.0,2.1
robust,opt,75,74,74,8,5,2.5,0,0.0,2.5
robust,opt,76,75,75,8,6,2.4,0,0.0,2.4
robust,opt,77,76,76,8,7,4.2,0,0.0,4.2
robust,opt,78,77,77,8,8,2.6,0,0.0,2.6
robust,opt,79,78,78,8,9,2.0,0,0.0,2.0
robust,opt,80,79,79,8,10,6.0,0,0.0,6.0
robust,opt,81,80,80,9,1,3.7,0,0.0,3.7
robust,opt,82,81,81,9,2,3.0,0,0.0,3.0
robust,opt,83,82,82,9,3,4.1,0,0.0,4.1
robust,opt,84,83,83,9,4,1.9,0,0.0,1.9
robust,opt,85,84,84,9,5,3.6,0,0.0,3.6
robust,opt,86,85,85,9,6,2.2,0,0.0,2.2
robust,opt,87,86,86,9,7,3.8,0,0.0,3.8
robust,opt,88,87,87,9,8,3.5,0,0.0,3.5
robust,opt,89,88,88,9,9,2.1,0,0.0,2.1
robust,opt,90,89,89,9,10,2.9,0,0.0,2.9
robust,opt,91,90,90,10,1,2.7,0,0.0,2.7
robust,opt,92,91,91,10,2,2.6,0,0.0,2.6
robust,opt,93,92,92,10,3,2.7,0,0.0,2.7
robust,opt,94,93,93,10,4,3.2,0,0.0,3.2
robust,opt,95,94,94,10,5,4.1,0,0.0,4.1
robust,opt,96,95,95,10,6,3.7,0,0.0,3.7
robust,opt,97,96,96,10,7,3.7,0,0.0,3.7
robust,opt,98,97,97,10,8,2.8,0,0.0,2.8
robust,opt,99,98,98,10,9,3.8,0,0.0,3.8
robust,opt,100,99,99,10,10,2.8,0,0.0,2.8
robust,opt,101,100,100,11,1,3.7,0,0.0,3.7
robust,opt,102,101,101,11,2,2.7,0,0.0,2.7
robust,opt,103,102,102,11,3,2.0,0,0.0,2.0
robust,opt,104,103,103,11,4,3.1,0,0.0,3.1
robust,opt,105,104,104,11,5,4.4,0,0.0,4.4
robust,opt,106,105,105,11,6,3.4,0,0.0,3.4
robust,opt,107,106,106,11,7,3.4,0,0.0,3.4
robust,opt,108,107,107,11,8,2.6,0,0.0,2.6
robust,opt,109,108,108,11,9,2.3,0,0.0,2.3
robust,opt,110,109,109,11,10,1.8,0,0.0,1.8
robust,opt,111,110,110,12,1,3.2,0,0.0,3.2
robust,opt,112,111,111,12,2,3.5,0,0.0,3.5
robust,opt,113,112,112,12,3,2.9,0,0.0,2.9
robust,opt,114,113,113,12,4,3.3,0,0.0,3.3
robust,opt,115,114,114,12,5,2.1,0,0.0,2.1
robust,opt,116,115,115,12,6,3.3,0,0.0,3.3
robust,opt,117,116,116,12,7,2.9,0,0.0,2.9
robust,opt,118,117,117,12,8,3.7,0,0.0,3.7
robust,opt,119,118,118,12,9,4.1,0,0.0,4.1
robust,opt,120,119,119,12,10,4.0,0,0.0,4.0
robust,opt,121,120,120,13,1,1.6,0,0.0,1.6
robust,opt,122,121,121,13,2,2.3,0,0.0,2.3
robust,opt,123,122,122,13,3,4.5,0,0.0,4.5
robust,opt,124,123,123,13,4,3.3,0,0.0,3.3
robust,opt,125,124,124,13,5,4.7,0,0.0,4.7
robust,opt,126,125,125,13,6,1.9,0,0.0,1.9
robust,opt,127,126,126,13,7,3.2,0,0.0,3.2
robust,opt,128,127,127,13,8,3.4,0,0.0,3.4
robust,opt,129,128,128,13,9,3.8,0,0.0,3.8
robust,opt,130,129,129,13,10,2.6,0,0.0,2.6
robust,opt,131,130,130,14,1,3.3,0,0.0,3.3
robust,opt,132,131,131,14,2,3.1,0,0.0,3.1
robust,opt,133,132,132,14,3,3.6,0,0.0,3.6
robust,opt,134,133,133,14,4,3.0,0,0.0,3.0
robust,opt,135,134,134,14,5,3.2,0,0.0,3.2
robust,opt,136,135,135,14,6,2.3,0,0.0,2.3
robust,opt,137,136,136,14,7,2.3,0,0.0,2.3
robust,opt,138,137,137,14,8,3.6,0,0.0,3.6
robust,opt,139,138,138,14,9,5.3,0,0.0,5.3
robust,opt,140,139,139,14,10,2.3,0,0.0,2.3
robust,opt,141,140,140,15,1,2.3,0,0.0,2.3
robust,opt,142,141,141,15,2,1.1,0,0.0,1.1
robust,opt,143,142,142,15,3,3.7,0,0.0,3.7
robust,opt,144,143,143,15,4,1.8,0,0.0,1.8
robust,opt,145,144,144,15,5,2.8,0,0.0,2.8
robust,opt,146,145,145,15,6,4.1,0,0.0,4.1
robust,opt,147,146,146,15,7,4.1,0,0.0,4.1
robust,opt,148,147,147,15,8,2.9,0,0.0,2.9
robust,opt,149,148,148,15,9,3.0,0,0.0,3.0
robust,opt,150,149,149,15,10,3.1,0,0.0,3.1
robust,opt,151,150,150,16,1,3.6,0,0.0,3.6
robust,opt,152,151,151,16,2,3.1,0,0.0,3.1
robust,opt,153,152,152,16,3,1.7,0,0.0,1.7
robust,opt,154,153,153,16,4,2.5,0,0.0,2.5
robust,opt,155,154,154,16,5,2.8,0,0.0,2.8
robust,opt,156,155,155,16,6,2.9,0,0.0,2.9
robust,opt,157,156,156,16,7,1.8,0,0.0,1.8
robust,opt,158,157,157,16,8,3.0,0,0.0,3.0
robust,opt,159,158,158,16,9,2.1,0,0.0,2.1
robust,opt,160,159,159,16,10,2.4,0,0.0,2.4
robust,opt,161,160,160,17,1,3.2,0,0.0,3.2
robust,opt,162,161,161,17,2,2.7,0,0.0,2.7
robust,opt,163,162,162,17,3,3.2,0,0.0,3.2
robust,opt,164,163,163,17,4,3.8,0,0.0,3.8
robust,opt,165,164,164,17,5,3.1,0,0.0,3.1
robust,opt,166,165,165,17,6,1.2,0,0.0,1.2
robust,opt,167,166,166,17,7,2.4,0,0.0,2.4
robust,opt,168,167,167,17,8,5.0,0,0.0,5.0
robust,opt,169,168,168,17,9,3.6,0,0.0,3.6
robust,opt,170,169,169,17,10,1.8,0,0.0,1.8
robust,opt,171,170,170,18,1,2.6,0,0.0,2.6
robust,opt,172,171,171,18,2,1.4,0,0.0,1.4
robust,opt,173,172,172,18,3,4.3,0,0.0,4.3
robust,opt,174,173,173,18,4,4.5,0,0.0,4.5
robust,opt,175,174,174,18,5,1.5,0,0.0,1.5
robust,opt,176,175,175,18,6,3.5,0,0.0,3.5
robust,opt,177,176,176,18,7,3.1,0,0.0,3.1
robust,opt,178,177,177,18,8,3.4,0,0.0,3.4
robust,opt,179,178,178,18,9,3.3,0,0.0,3.3
robust,opt,180,179,179,18,10,1.9,0,0.0,1.9
robust,opt,181,180,180,19,1,3.4,0,0.0,3.4
robust,opt,182,181,181,19,2,2.9,0,0.0,2.9
robust,opt,183,182,182,19,3,2.4,0,0.0,2.4
robust,opt,184,183,183,19,4,3.6,0,0.0,3.6
robust,opt,185,184,184,19,5,2.0,0,0.0,2.0
robust,opt,186,185,185,19,6,2.9,0,0.0,2.9
robust,opt,187,186,186,19,7,4.4,0,0.0,4.4
robust,opt,188,187,187,19,8,3.7,0,0.0,3.7
robust,opt,189,188,188,19,9,3.1,0,0.0,3.1
robust,opt,190,189,189,19,10,3.1,0,0.0,3.1
robust,opt,191,190,190,20,1,2.5,0,0.0,2.5
robust,opt,192,191,191,20,2,3.1,0,0.0,3.1
robust,opt,193,192,192,20,3,3.2,0,0.0,3.2
robust,opt,194,193,193,20,4,3.5,0,0.0,3.5
robust,opt,195,194,194,20,5,3.3,0,0.0,3.3
robust,opt,196,195,195,20,6,2.8,0,0.0,2.8
robust,opt,197,196,196,20,7,3.5,0,0.0,3.5
robust,opt,198,197,197,20,8,3.4,0,0.0,3.4
robust,opt,199,198,198,20,9,1.9,0,0.0,1.9
robust,opt,200,199,199,20,10,1.9,0,0.0,1.9
robust,opt,201,200,200,21,1,2.9,0,0.0,2.9
robust,opt,202,201,201,21,2,3.3,0,0.0,3.3
robust,opt,203,202,202,21,3,3.4,0,0.0,3.4
robust,opt,204,203,203,21,4,2.8,0,0.0,2.8
robust,opt,205,204,204,21,5,2.2,0,0.0,2.2
robust,opt,206,205,205,21,6,3.5,0,0.0,3.5
robust,opt,207,206,206,21,7,3.1,0,0.0,3.1
robust,opt,208,207,207,21,8,3.1,0,0.0,3.1
robust,opt,209,208,208,21,9,3.8,0,0.0,3.8
robust,opt,210,209,209,21,10,2.3,0,0.0,2.3
robust,opt,211,210,210,22,1,3.4,0,0.0,3.4
robust,opt,212,211,211,22,2,2.5,0,0.0,2.5
robust,opt,213,212,212,22,3,3.5,0,0.0,3.5
robust,opt,214,213,213,22,4,2.2,0,0.0,2.2
robust,opt,215,214,214,22,5,2.8,0,0.0,2.8
robust,opt,216,215,215,22,6,2.8,0,0.0,2.8
robust,opt,217,216,216,22,7,1.7,0,0.0,1.7
robust,opt,218,217,217,22,8,2.4,0,0.0,2.4
robust,opt,219,218,218,22,9,3.5,0,0.0,3.5
robust,opt,220,219,219,22,10,31.0,1,30.999999999975895,2.41051623106614e-11
robust,opt,221,220,220,23,1,10.6,1,10.599999999999545,4.547473508864641e-13
robust,opt,222,221,221,23,2,4.6,0,0.0,4.6
robust,opt,223,222,222,23,3,55.1,1,55.09999999999955,4.547473508864641e-13
robust,opt,224,223,223,23,4,114.1,1,114.09999999999954,4.547473508864641e-13
robust,opt,225,224,224,23,5,187.8,1,187.79999999999956,4.547473508864641e-13
robust,opt,226,225,225,23,6,365.4,1,365.3999999999995,4.547473508864641e-13
robust,opt,227,226,226,23,7,431.6,1,431.59999999999957,4.547473508864641e-13
robust,opt,228,227,227,23,8,308.6,1,308.59999999999957,4.547473508864641e-13
robust,opt,229,228,228,23,9,247.1,1,247.09999999999954,4.547473508864641e-13
robust,opt,230,229,229,23,10,83.4,1,83.39999999999955,4.547473508864641e-13
robust,opt,231,230,230,24,1,188.4,1,188.3999999999959,4.092726157978177e-12
robust,opt,232,231,231,24,2,144.6,1,144.5999999999959,4.092726157978177e-12
robust,opt,233,232,232,24,3,53.1,1,53.09999999999591,4.092726157978177e-12
robust,opt,234,233,233,24,4,50.5,1,50.49999999999591,4.092726157978177e-12
robust,opt,235,234,234,24,5,116.5,1,116.49999999999591,4.092726157978177e-12
robust,opt,236,235,235,24,6,71.6,1,71.5999999999959,4.092726157978177e-12
robust,opt,237,236,236,24,7,63.4,1,63.399999999995906,4.092726157978177e-12
robust,opt,238,237,237,24,8,55.7,1,55.69999999999591,4.092726157978177e-12
robust,opt,239,238,238,24,9,19.7,1,19.699999999995907,4.092726157978177e-12
robust,opt,240,239,239,24,10,36.7,1,36.69999999999591,4.092726157978177e-12
robust,opt,241,240,240,25,1,26.7,1,26.70000000000364,-3.6415315207705135e-12
robust,opt,242,241,241,25,2,14.3,1,14.300000000003642,-3.6415315207705135e-12
robust,opt,243,242,242,25,3,6.2,0,0.0,6.2
robust,opt,244,243,243,25,4,26.7,1,26.70000000000364,-3.6415315207705135e-12
robust,opt,245,244,244,25,5,37.7,1,37.70000000000364,-3.637978807091713e-12
robust,opt,246,245,245,25,6,21.3,1,21.300000000003642,-3.6415315207705135e-12
robust,opt,247,246,246,25,7,14.4,1,14.400000000003642,-3.6415315207705135e-12
robust,opt,248,247,247,25,8,38.1,1,38.10000000000365,-3.645084234449314e-12
robust,opt,249,248,248,25,9,16.0,1,16.00000000000364,-3.6415315207705135e-12
robust,opt,250,249,249,25,10,3.8,0,0.0,3.8
robust,opt,251,250,250,26,1,4.9,0,0.0,4.9
robust,opt,252,251,251,26,2,8.1,0,0.0,8.1
robust,opt,253,252,252,26,3,11.7,0,0.0,11.7
robust,opt,254,253,253,26,4,12.7,0,0.0,12.7
robust,opt,255,254,254,26,5,17.9,0,0.0,17.9
robust,opt,256,255,255,26,6,9.0,0,0.0,9.0
robust,opt,257,256,256,26,7,4.5,0,0.0,4.5
robust,opt,258,257,257,26,8,18.6,0,0.0,18.6
robust,opt,259,258,258,26,9,5.6,0,0.0,5.6
robust,opt,260,259,259,26,10,3.1,0,0.0,3.1
robust,opt,261,260,260,27,1,2.5,0,0.0,2.5
robust,opt,262,261,261,27,2,5.8,0,0.0,5.8
robust,opt,263,262,262,27,3,2.5,0,0.0,2.5
robust,opt,264,263,263,27,4,3.5,0,0.0,3.5
robust,opt,265,264,264,27,5,3.8,0,0.0,3.8
robust,opt,266,265,265,27,6,3.0,0,0.0,3.0
robust,opt,267,266,266,27,7,2.3,0,0.0,2.3
robust,opt,268,267,267,27,8,2.8,0,0.0,2.8
robust,opt,269,268,268,27,9,3.1,0,0.0,3.1
robust,opt,270,269,269,27,10,2.9,0,0.0,2.9
robust,opt,271,270,270,28,1,3.3,0,0.0,3.3
robust,opt,272,271,271,28,2,4.3,0,0.0,4.3
robust,opt,273,272,272,28,3,2.7,0,0.0,2.7
robust,opt,274,273,273,28,4,4.1,0,0.0,4.1
robust,opt,275,274,274,28,5,3.5,0,0.0,3.5
robust,opt,276,275,275,28,6,4.1,0,0.0,4.1
robust,opt,277,276,276,28,7,2.0,0,0.0,2.0
robust,opt,278,277,277,28,8,2.7,0,0.0,2.7
robust,opt,279,278,278,28,9,3.9,0,0.0,3.9
robust,opt,280,279,279,28,10,4.5,0,0.0,4.5
robust,opt,281,280,280,29,1,2.8,0,0.0,2.8
robust,opt,282,281,281,29,2,1.7,0,0.0,1.7
robust,opt,283,282,282,29,3,2.4,0,0.0,2.4
robust,opt,284,283,283,29,4,4.5,0,0.0,4.5
robust,opt,285,284,284,29,5,3.5,0,0.0,3.5
robust,opt,286,285,285,29,6,4.5,0,0.0,4.5
robust,opt,287,286,286,29,7,3.8,0,0.0,3.8
robust,opt,288,287,287,29,8,3.6,0,0.0,3.6
robust,opt,289,288,288,29,9,4.6,0,0.0,4.6
robust,opt,290,289,289,29,10,4.3,0,0.0,4.3
robust,opt,291,290,290,30,1,5.8,0,0.0,5.8
robust,opt,292,291,291,30,2,2.8,0,0.0,2.8
robust,opt,293,292,292,30,3,1.7,0,0.0,1.7
robust,opt,294,293,293,30,4,2.7,0,0.0,2.7
robust,opt,295,294,294,30,5,3.4,0,0.0,3.4
robust,opt,296,295,295,30,6,3.2,0,0.0,3.2
robust,opt,297,296,296,30,7,3.1,0,0.0,3.1
robust,opt,298,297,297,30,8,3.1,0,0.0,3.1
robust,opt,299,298,298,30,9,2.4,0,0.0,2.4
robust,opt,300,299,299,30,10,2.5,0,0.0,2.5
robust,opt,301,300,300,31,1,3.6,0,0.0,3.6
robust,opt,302,301,301,31,2,3.7,0,0.0,3.7
robust,opt,303,302,302,31,3,3.1,0,0.0,3.1
robust,opt,304,303,303,31,4,4.4,0,0.0,4.4
robust,opt,305,304,304,31,5,2.8,0,0.0,2.8
robust,opt,306,305,305,31,6,5.8,0,0.0,5.8
robust,opt,307,306,306,31,7,3.8,0,0.0,3.8
robust,opt,308,307,307,31,8,2.9,0,0.0,2.9
robust,opt,309,308,308,31,9,2.9,0,0.0,2.9
robust,opt,310,309,309,31,10,4.2,0,0.0,4.2
robust,opt,311,310,310,32,1,4.6,0,0.0,4.6
robust,opt,312,311,311,32,2,2.6,0,0.0,2.6
robust,opt,313,312,312,32,3,2.1,0,0.0,2.1
robust,opt,314,313,313,32,4,2.8,0,0.0,2.8
robust,opt,315,314,314,32,5,2.7,0,0.0,2.7
robust,opt,316,315,315,32,6,4.0,0,0.0,4.0
robust,opt,317,316,316,32,7,2.6,0,0.0,2.6
robust,opt,318,317,317,32,8,5.2,0,0.0,5.2
robust,opt,319,318,318,32,9,1.9,0,0.0,1.9
robust,opt,320,319,319,32,10,5.1,0,0.0,5.1
robust,opt,321,320,320,33,1,2.6,0,0.0,2.6
robust,opt,322,321,321,33,2,2.9,0,0.0,2.9
robust,opt,323,322,322,33,3,2.1,0,0.0,2.1
robust,opt,324,323,323,33,4,2.8,0,0.0,2.8
robust,opt,325,324,324,33,5,1.5,0,0.0,1.5
robust,opt,326,325,325,33,6,3.0,0,0.0,3.0
robust,opt,327,326,326,33,7,4.2,0,0.0,4.2
robust,opt,328,327,327,33,8,3.9,0,0.0,3.9
robust,opt,329,328,328,33,9,4.3,0,0.0,4.3
robust,opt,330,329,329,33,10,4.2,0,0.0,4.2
robust,opt,331,330,330,34,1,3.0,0,0.0,3.0
robust,opt,332,331,331,34,2,1.9,0,0.0,1.9
robust,opt,333,332,332,34,3,2.3,0,0.0,2.3
robust,opt,334,333,333,34,4,2.5,0,0.0,2.5
robust,opt,335,334,334,34,5,3.0,0,0.0,3.0
robust,opt,336,335,335,34,6,2.7,0,0.0,2.7
robust,opt,337,336,336,34,7,3.2,0,0.0,3.2
robust,opt,338,337,337,34,8,4.6,0,0.0,4.6
robust,opt,339,338,338,34,9,4.0,0,0.0,4.0
robust,opt,340,339,339,34,10,3.7,0,0.0,3.7
robust,opt,341,340,340,35,1,2.3,0,0.0,2.3
robust,opt,342,341,341,35,2,4.8,0,0.0,4.8
robust,opt,343,342,342,35,3,4.4,0,0.0,4.4
robust,opt,344,343,343,35,4,3.1,0,0.0,3.1
robust,opt,345,344,344,35,5,2.2,0,0.0,2.2
robust,opt,346,345,345,35,6,1.8,0,0.0,1.8
robust,opt,347,346,346,35,7,3.1,0,0.0,3.1
robust,opt,348,347,347,35,8,3.1,0,0.0,3.1
robust,opt,349,348,348,35,9,3.3,0,0.0,3.3
robust,opt,350,349,349,35,10,5.8,0,0.0,5.8
robust,opt,351,350,350,36,1,2.9,0,0.0,2.9
robust,opt,352,351,351,36,2,3.5,0,0.0,3.5
robust,opt,353,352,352,36,3,2.6,0,0.0,2.6
robust,opt,354,353,353,36,4,2.2,0,0.0,2.2
robust,opt,355,354,354,36,5,3.5,0,0.0,3.5
robust,opt,356,355,355,36,6,3.8,0,0.0,3.8
robust,opt,357,356,356,36,7,2.4,0,0.0,2.4
robust,opt,358,357,357,36,8,2.9,0,0.0,2.9
robust,opt,359,358,358,36,9,2.1,0,0.0,2.1
robust,opt,360,359,359,36,10,2.6,0,0.0,2.6
robust,opt,361,360,360,37,1,2.0,0,0.0,2.0
robust,opt,362,361,361,37,2,3.8,0,0.0,3.8
robust,opt,363,362,362,37,3,4.1,0,0.0,4.1
robust,opt,364,363,363,37,4,4.0,0,0.0,4.0
robust,opt,365,364,364,37,5,2.6,0,0.0,2.6
robust,opt,366,365,365,37,6,3.7,0,0.0,3.7
robust,opt,367,366,366,37,7,2.6,0,0.0,2.6
robust,opt,368,367,367,37,8,3.9,0,0.0,3.9
robust,opt,369,368,368,37,9,3.0,0,0.0,3.0
robust,opt,370,369,369,37,10,3.3,0,0.0,3.3
robust,opt,371,370,370,38,1,4.1,0,0.0,4.1
robust,opt,372,371,371,38,2,4.9,0,0.0,4.9
robust,opt,373,372,372,38,3,4.1,0,0.0,4.1
robust,opt,374,373,373,38,4,2.9,0,0.0,2.9
robust,opt,375,374,374,38,5,3.8,0,0.0,3.8
robust,opt,376,375,375,38,6,4.7,0,0.0,4.7
robust,opt,377,376,376,38,7,3.3,0,0.0,3.3
robust,opt,378,377,377,38,8,2.9,0,0.0,2.9
robust,opt,379,378,378,38,9,2.5,0,0.0,2.5
robust,opt,380,379,379,38,10,4.5,0,0.0,4.5
robust,opt,381,380,380,39,1,3.0,0,0.0,3.0
robust,opt,382,381,381,39,2,4.1,0,0.0,4.1
robust,opt,383,382,382,39,3,2.3,0,0.0,2.3
robust,opt,384,383,383,39,4,2.4,0,0.0,2.4
robust,opt,385,384,384,39,5,1.5,0,0.0,1.5
robust,opt,386,385,385,39,6,3.0,0,0.0,3.0
robust,opt,387,386,386,39,7,1.5,0,0.0,1.5
robust,opt,388,387,387,39,8,3.0,0,0.0,3.0
robust,opt,389,388,388,39,9,1.1,0,0.0,1.1
robust,opt,390,389,389,39,10,2.9,0,0.0,2.9
robust,opt,391,390,390,40,1,3.9,0,0.0,3.9
robust,opt,392,391,391,40,2,2.3,0,0.0,2.3
robust,opt,393,392,392,40,3,3.6,0,0.0,3.6
robust,opt,394,393,393,40,4,4.6,0,0.0,4.6
robust,opt,395,394,394,40,5,3.1,0,0.0,3.1
robust,opt,396,395,395,40,6,3.4,0,0.0,3.4
robust,opt,397,396,396,40,7,4.6,0,0.0,4.6
robust,opt,398,397,397,40,8,2.3,0,0.0,2.3
robust,opt,399,398,398,40,9,2.6,0,0.0,2.6
robust,opt,400,399,399,40,10,1.7,0,0.0,1.7
robust,opt,401,400,400,41,1,2.6,0,0.0,2.6
robust,opt,402,401,401,41,2,3.0,0,0.0,3.0
robust,opt,403,402,402,41,3,4.1,0,0.0,4.1
robust,opt,404,403,403,41,4,3.8,0,0.0,3.8
robust,opt,405,404,404,41,5,2.7,0,0.0,2.7
robust,opt,406,405,405,41,6,3.0,0,0.0,3.0
robust,opt,407,406,406,41,7,3.1,0,0.0,3.1
robust,opt,408,407,407,41,8,3.9,0,0.0,3.9
robust,opt,409,408,408,41,9,2.8,0,0.0,2.8
robust,opt,410,409,409,41,10,1.9,0,0.0,1.9
robust,opt,411,410,410,42,1,3.1,0,0.0,3.1
robust,opt,412,411,411,42,2,2.8,0,0.0,2.8
robust,opt,413,412,412,42,3,4.2,0,0.0,4.2
robust,opt,414,413,413,42,4,2.2,0,0.0,2.2
robust,opt,415,414,414,42,5,3.9,0,0.0,3.9
robust,opt,416,415,415,42,6,1.4,0,0.0,1.4
robust,opt,417,416,416,42,7,3.2,0,0.0,3.2
robust,opt,418,417,417,42,8,3.1,0,0.0,3.1
robust,opt,419,418,418,42,9,4.7,0,0.0,4.7
robust,opt,420,419,419,42,10,3.8,0,0.0,3.8
robust,opt,421,420,420,43,1,3.8,0,0.0,3.8
robust,opt,422,421,421,43,2,2.4,0,0.0,2.4
robust,opt,423,422,422,43,3,2.2,0,0.0,2.2
robust,opt,424,423,423,43,4,4.2,0,0.0,4.2
robust,opt,425,424,424,43,5,3.8,0,0.0,3.8
robust,opt,426,425,425,43,6,3.6,0,0.0,3.6
robust,opt,427,426,426,43,7,2.0,0,0.0,2.0
robust,opt,428,427,427,43,8,2.1,0,0.0,2.1
robust,opt,429,428,428,43,9,2.6,0,0.0,2.6
robust,opt,430,429,429,43,10,3.5,0,0.0,3.5
robust,opt,431,430,430,44,1,3.0,0,0.0,3.0
robust,opt,432,431,431,44,2,1.7,0,0.0,1.7
robust,opt,433,432,432,44,3,4.3,0,0.0,4.3
robust,opt,434,433,433,44,4,4.5,0,0.0,4.5
robust,opt,435,434,434,44,5,2.8,0,0.0,2.8
robust,opt,436,435,435,44,6,5.5,0,0.0,5.5
robust,opt,437,436,436,44,7,2.3,0,0.0,2.3
robust,opt,438,437,437,44,8,2.9,0,0.0,2.9
robust,opt,439,438,438,44,9,4.0,0,0.0,4.0
robust,opt,440,439,439,44,10,4.0,0,0.0,4.0
robust,opt,441,440,440,45,1,3.3,0,0.0,3.3
robust,opt,442,441,441,45,2,4.2,0,0.0,4.2
robust,opt,443,442,442,45,3,2.7,0,0.0,2.7
robust,opt,444,443,443,45,4,4.2,0,0.0,4.2
robust,opt,445,444,444,45,5,4.4,0,0.0,4.4
robust,opt,446,445,445,45,6,3.3,0,0.0,3.3
robust,opt,447,446,446,45,7,2.6,0,0.0,2.6
robust,opt,448,447,447,45,8,3.7,0,0.0,3.7
robust,opt,449,448,448,45,9,2.5,0,0.0,2.5
robust,opt,450,449,449,45,10,3.8,0,0.0,3.8
robust,opt,451,450,450,46,1,2.5,0,0.0,2.5
robust,opt,452,451,451,46,2,1.7,0,0.0,1.7
